Code,DelistingDate,ListingDate,ListingDateSource,Market,Name,SecuGroup,SnapshotDate,Source,IsDelisted
001420,,1975-06-24,FDR_DESC,KOSPI,태원물산,주권,2026-09-06,KOSPI-DESC,False
001430,,1991-03-12,FDR_DESC,KOSPI,세아베스틸지주,주권,2026-09-06,KOSPI-DESC,False
001440,,1968-12-27,FDR_DESC,KOSPI,대한전선,주권,2026-09-06,KOSPI-DESC,False
001445,1976-04-19,1970-06-30,FDR_DELISTING,KOSPI,대한전선우,주권,2026-09-06,KRX-DELISTING,True
001450,,1989-08-25,FDR_DESC,KOSPI,현대해상,주권,2026-09-06,KOSPI-DESC,False
001460,,1975-06-02,FDR_DESC,KOSPI,BYC,주권,2026-09-06,KOSPI-DESC,False
001465,,2014-06-17,FDR_FIRST_TRADE,KOSPI,BYC우,주권,2026-09-06,KOSPI-DESC,False
001470,,1976-06-26,FDR_DESC,KOSPI,삼부토건,주권,2026-09-06,KOSPI-DESC,False
001490,2004-10-22,1976-12-24,FDR_DELISTING,KOSPI,천지산업,주권,2026-09-06,KRX-DELISTING,True
001500,,1990-06-09,FDR_DESC,KOSPI,현대차증권,주권,2026-09-06,KOSPI-DESC,False
001510,,1986-09-20,FDR_DESC,KOSPI,SK증권,주권,2026-09-06,KOSPI-DESC,False
001515,,2014-06-17,FDR_FIRST_TRADE,KOSPI,SK증권우,주권,2026-09-06,KOSPI-DESC,False
001520,,1976-06-25,FDR_DESC,KOSPI,동양,주권,2026-09-06,KOSPI-DESC,False
001525,,2014-06-17,FDR_FIRST_TRADE,KOSPI,동양우,주권,2026-09-06,KOSPI-DESC,False
001527,,2014-06-17,FDR_FIRST_TRADE,KOSPI,동양2우B,주권,2026-09-06,KOSPI-DESC,False
001529,2022-07-15,2007-08-03,FDR_DELISTING,KOSPI,동양3우B,주권,2026-09-06,KRX-DELISTING,True
001530,,1964-01-04,FDR_DESC,KOSPI,DI동일,주권,2026-09-06,KOSPI-DESC,False
001540,,2000-06-15,FDR_DESC,KOSDAQ,안국약품,주권,2026-09-06,KOSDAQ-DESC,False
001550,,1976-12-28,FDR_DESC,KOSPI,조비,주권,2026-09-06,KOSPI-DESC,False
001560,,2005-12-09,FDR_DESC,KOSPI,제일연마,주권,2026-09-06,KOSPI-DESC,False
001570,,1976-12-17,FDR_DESC,KOSPI,금양,주권,2026-09-06,KOSPI-DESC,False
001575,1980-03-20,1976-12-17,FDR_DELISTING,KOSPI,금양우,주권,2026-09-06,KRX-DELISTING,True
001580,2005-08-05,1988-10-26,FDR_DELISTING,KOSPI,신광기업,주권,2026-09-06,KRX-DELISTING,True
001590,2004-09-02,1989-07-29,FDR_DELISTING,KOSPI,일화모직,주권,2026-09-06,KRX-DELISTING,True
0015G0,,2025-11-17,FDR_DESC,KOSDAQ,그린광학,주권,2026-09-06,KOSDAQ-DESC,False
0015N0,,2025-11-27,FDR_DESC,KOSDAQ,아로마티카,주권,2026-09-06,KOSDAQ-DESC,False
0015S0,,2025-12-10,FDR_DESC,KOSDAQ,페스카로,주권,2026-09-06,KOSDAQ-DESC,False
001600,2010-04-15,1989-11-16,FDR_DELISTING,KOSPI,서광건설,주권,2026-09-06,KRX-DELISTING,True
001610,1996-10-08,1975-12-27,FDR_DELISTING,KOSPI,두산종합식품,주권,2026-09-06,KRX-DELISTING,True
001615,1996-10-08,1987-06-11,FDR_DELISTING,KOSPI,두산종합식품(1우),주권,2026-09-06,KRX-DELISTING,True
001620,,1990-09-15,FDR_DESC,KOSPI,케이비아이동국실업,주권,2026-09-06,KOSPI-DESC,False
