Code,Name,ListingDate,DelistingDate,Source
007210,벽산,1972-01-04,,KOSPI-DESC
007280,한국특강,1989-11-13,,KOSPI-DESC
007310,오뚜기,1994-08-12,,KOSPI-DESC
007340,DN오토모티브,1988-09-24,,KOSPI-DESC
007460,에이프로젠,1995-07-08,,KOSPI-DESC
007540,샘표,1976-06-29,,KOSPI-DESC
007570,일양약품,1974-08-28,,KOSPI-DESC
007590,동방아그로,1977-06-29,,KOSPI-DESC
007610,선도전기,1989-11-30,,KOSPI-DESC
007660,이수페타시스,2003-10-07,,KOSPI-DESC
007690,국도화학,1989-08-05,,KOSPI-DESC
007700,F&F홀딩스,1984-10-04,,KOSPI-DESC
007810,코리아써키트,1985-09-09,,KOSPI-DESC
007860,서연,1989-09-09,,KOSPI-DESC
007980,TP,1994-12-27,,KOSPI-DESC
008040,사조동아원,1989-06-24,,KOSPI-DESC
008060,대덕,1989-01-26,,KOSPI-DESC
008110,대동전자,1990-06-05,2026-03-30,KRX-DELISTING
008250,이건산업,1988-10-21,,KOSPI-DESC
008260,NI스틸,1975-06-28,,KOSPI-DESC
008350,남선알미늄,1978-05-22,,KOSPI-DESC
008420,문배철강,1994-11-05,,KOSPI-DESC
008490,서흥,1990-03-27,,KOSPI-DESC
008500,일정실업,1994-08-12,2026-06-30,KRX-DELISTING
008600,윌비스,1989-07-28,,KOSPI-DESC
008700,아남전자,1984-08-11,,KOSPI-DESC
008730,율촌화학,1988-08-30,,KOSPI-DESC
008770,호텔신라,1991-03-12,,KOSPI-DESC
008870,금비,1990-06-08,,KOSPI-DESC
008930,한미사이언스,1988-06-20,,KOSPI-DESC
008970,KBI동양철관,1977-03-05,,KOSPI-DESC
009070,KCTC,1978-09-29,,KOSPI-DESC
009140,경인전자,1989-06-20,,KOSPI-DESC
009150,삼성전기,1979-02-27,,KOSPI-DESC
009160,SIMPAC,1989-07-29,,KOSPI-DESC
009180,한솔로지스틱스,1989-11-13,,KOSPI-DESC
009190,대양금속,1994-04-29,,KOSPI-DESC
009200,무림페이퍼,1990-06-09,,KOSPI-DESC
009240,한샘,2002-07-16,,KOSPI-DESC
009270,신원,1988-08-24,,KOSPI-DESC
009290,광동제약,1989-11-17,,KOSPI-DESC
009310,참엔지니어링,1987-11-12,,KOSPI-DESC
009320,아진전자부품,1989-08-25,,KOSPI-DESC
009410,태영건설,1989-11-13,,KOSPI-DESC
009420,한올바이오파마,1989-12-18,,KOSPI-DESC
009440,KC그린홀딩스,1994-11-05,,KOSPI-DESC
009450,경동나비엔,1993-08-31,,KOSPI-DESC
009460,한창제지,1987-12-23,,KOSPI-DESC
009470,삼화전기,1986-11-24,,KOSPI-DESC
009540,HD한국조선해양,1999-08-24,,KOSPI-DESC
009580,무림P&P,1989-06-20,,KOSPI-DESC
009680,모토닉,1994-01-14,,KOSPI-DESC
009770,삼정펄프,2006-10-17,,KOSPI-DESC
009810,플레이그램,1988-08-31,,KOSPI-DESC
009830,한화솔루션,1974-06-19,,KOSPI-DESC
009900,명신산업,2020-12-07,,KOSPI-DESC
009970,영원무역홀딩스,1988-11-07,,KOSPI-DESC
010040,한국내화,2000-10-16,,KOSPI-DESC
010060,OCI홀딩스,1985-07-09,,KOSPI-DESC
010100,한국무브넥스,1987-10-02,,KOSPI-DESC
010120,LS ELECTRIC,1994-07-11,,KOSPI-DESC
010130,고려아연,1990-07-28,,KOSPI-DESC
010140,삼성중공업,1994-01-28,,KOSPI-DESC
010400,우진아이엔에스,2018-09-14,,KOSPI-DESC
010420,한솔PNS,1989-05-31,2025-09-25,KRX-DELISTING
010580,에스엠벡셀,1994-12-27,,KOSPI-DESC
010600,웰바이오텍,1997-07-18,2026-01-26,KRX-DELISTING
010620,HD현대미포,1983-12-20,2025-12-15,KRX-DELISTING
010640,진양폴리,1989-09-30,,KOSPI-DESC
010660,화천기계,1988-12-12,,KOSPI-DESC
010690,화신,1994-01-14,,KOSPI-DESC
010770,평화홀딩스,1986-03-31,,KOSPI-DESC
010780,아이에스동서,1986-01-27,,KOSPI-DESC
010820,퍼스텍,1989-05-10,,KOSPI-DESC
010950,S-Oil,1987-05-27,,KOSPI-DESC
010960,삼호개발,2005-05-12,,KOSPI-DESC
011000,진원생명과학,1987-11-16,,KOSPI-DESC
